TranslatedRecipeName,TotalTimeInMins
Bhindi Huli,20
Ukad  ,10
Coconut Kewra Drink,10
Cheese Broccoli Fritter,40
Tamarind Chilli Potato,50
Paneer Pancake,40
Corn Toast  With Moong Sprouts & Vegetable,20
Rajasthani Dal Baaple Churma,60
Kathirikkai Thogayal,50
Sukhi Aloo Sabzi ,40
Vegan Kofta Curry  ,75
Chow Chow Thoran,30
Vegetarian Potato Hash,55
Thai Yellow Chicken Curry,40
Goan Style Chana Dal Payasam,300
Raw Mango Rait,30
Okra Bamia,45
Fruit Pachadi,20
Italian Home Style Ravioli in Lemon,160
No Onion No Garlic Raw Tomato Curry ,40
Uppu Seedai,740
Grilled Rajma Masala Sandwich,40
Karnataka Style Avarekalu Akki Rotti,45
Goan Style Caldinho de Abobora Branca  ,35
Beans Karam  ,45
Indo Chinese Soya Stir Fry  With Cashew Nut,30
Calicut Payyoli Chicken Fry,35
Mango Musk Melon Chia Seeds Pudding,25
Kacche Aam Aur Lehsun Ki Dal,50
Coconut Peanut Chutney  ,40
Menthe Tambli,30
Muesli Chia Seeds Kaiser Roll,105
Cheesy Masala Omelette  With Roasted Vegetable,25
Aava Pettina Majjiga Pulusu,35
Szechwan Hakka Noodle Momo,55
Penne With Creamy Pumpkin Sauce  With Broccol,60
Gajar Shalgam Ka Paani Wala Achar,25
Wheat Grass Rasam ,35
Mangalorean Style Biscuit Roti,55
Andhra Style Beetroot Vepudu,30
Parsi Style Seasoned Scrambled Eggs ,30
Besan Aur Mirch Ki Sabzi ,45
Spinach & Paneer Cornmeal Roll,105
Homemade Trail Mix  with Dry Fruit,40
Sri Lankan Chicken Curry,55
Kobiche Vade,35
Roasted Cauliflower Dill Soup,55
Bihari Style Kadhi Badi,75
Apple Vanilla Whole Wheat Pancakes,35
Pumpkin Ombhal ,45
Ic,20
Tofu Bhurji,40
Kathirikai UrulaiKizhanghu Pachidi  ,45
Achari Masala  For Fresh Pickle,35
Masala Lachha Paratha,30
Spiced Coconut Rice ,40
Murungakkai Puli Kuzhambu,50
Mangalorean Padengi Gassi,55
Palak Paneer Paratha ,80
Cabbage And Carrot Thoran ,40
Spicy & Masaledar Aloo Gobi & Beans Tawa Sabzi,40
Spicy Baby Potatoes ,40
Konkani Style Sungta Ambat Aani Tallel Sungta,55
Avocado Egg Sandwich,25
Grated Carrot Cucumber Tomato Raita,15
Lemon Ginger Spice Detox Tea,10
Basil Pesto Bombs,45
Maharashtrian Chavali Chi Usal,160
Goan Style Empada De Camarao  ,70
Coffee Raisin Cake With Sugar Glaze,60
Patta Gobi Matar Nu Shaak  ,25
Spicy & Tangy Pakodi Chaat,40
Green Tea,7
Spinach and Green Peas Curry ,50
Peanut Butter Chicken,25
Chilli Ginger Vegetable Tofu Stir Fry,55
Ragi Malpua With Rabri  ,55
Naga Style Chicken With Bamboo Shoot,40
Beguni,90
Tawa Crispy Pomfret Fry,120
Homemade Italian Calzones,13
The Oat and Green Moong Dal Pesaratt,60
Masoor Dal With Scrambled Eggs,45
Chettinad Cauliflower Pepper Fry  ,55
Sukhi Dahi Wali Lauki ,45
Pasi Paruppu Masiyal,40
Horsegram Idli,380
Tomato Rice With Basil,50
"Aglio E Olio Pasta  with Roasted Cauliflower, Peppers & Cashew Nut",35
Udupi Style Alsande Kayi Saaru  ,40
Greek Style Grilled Pita Pizza,30
Baked Egg With Quinoa & Tomato Sauce,55
Awadhi Style Kathal Ke Kebab,75
Raw Papaya Kofta In Yogurt Curry,45
Millet Jowar Paniyaram,50
Kitkat Cake With Sponge  ,50
Strawberry Panna Cotta Tart With Chocolate Ganache,65
Moroccan Chickpeas And Vegetable Stew  With Couscou,40
Baked Brie In Puff Pastry With Fruits,35
Homemade Coconut Milk,10
Maharashtrian Golyachi Amti  ,30
Ice Cream Tea Float,25
Burani Raita,5
Matar Besan And Paneer Cheela,40
Moong Dal Potli,40
Mushroom & Bean Sloppy Joe,180
Greek Style Broken Wheat Salad with Chickpeas Fresh Mint & Feta,65
Kundapur Taal Masala Powder,25
Meghalaya Style Do O Kalai,35
Goan Poee,100
Arbi Tomato Onion Sabzi  ,55
Creamy Mocha Lassi,15
Crispy Amla Gawar Phali Sabzi ,45
Satori  ,70
Balinese Black Rice Pudding,90
Asian Style Paper Wrapped Chicken,135
Gujarati Biraj,90
Asian Red Cabbage Salad With Roasted Peanuts,35
Jowar and Vegetable Porridge,20
Matta Rice/ Chemba Rice,70
Mint Flavoured Mixed Vegetable Pulao,30
Verusenaga Sambar  ,40
Iyengar Style Masala Toas,40
Savoury Pancakes  With Spinach & Paneer Fillin,35
Paneer Pasanda,50
Quinoa Sweet Paniyaram,50
Oatmeal Pancake  With Orang,30
Chole Pindi,620
Tomato Onion Gravy Sabzi ,30
Andhra Style Coconut Flavored Rice Upma,50
Vegetable Spring Rolls,40
Avocado Ada Pradhaman  ,50
Murgh Masala,70
Baked Chinese Potato  ,30
Perfect Christmas Roast Potatoes,55
Iyengar Bakery Style Masala Bread,25
Simple & Easy Chicken Cutlet,40
Italian Baked Pasta  With Cheese & Bread Crumb,60
Traditional Mathri,90
Matar Samosa Chaat,90
Masala Omelette Waffles,35
Ridge Gourd Pachadi ,30
Tangy Red Purifie,20
Choco Swirl Cookies  ,120
Subz Noor E Chashm  ,50
Roasted Chickpeas With Apples Salad,65
Roasted Vegetables Pizza Pouch,50
Kaddu Simla Mirch Sabzi ,45
Creamy Veg Spring Roll,75
Goan Egg Drop Curry ,45
Mooli Gobhi Aur Methi Sabzi,25
Khatte Baingan,25
Chettinad Masala Powder,15
Chicken Barbecue Pizza,90
Tomato Onion Gravy Sabzi,30
Manathakkali Thayir Pachadi,15
Dahi Achari Bhindi,55
Fusion Wrap  ,35
Heerekai Sippe Chutney  ,30
Chettinad Dry Pepper Chicken,40
Shredded Chicken Cheese Sandwich,30
Dimer Malai Curry  ,65
Baked Cheesy Broccoli Pasta,40
Whole Wheat Ravioli with Paneer & Creamy Mushroom Oat Sauce,70
Surati Jowar Vad,95
Gujarati Style Bhakri,50
Besan Burji ,45
Methi Murgh,55
Spicy Chana Chaat Frankie,55
Amrood Ki Chutney ,45
Homemade Mango Ic,920
Badam Burfi,70
Madurai Spicy Tomato Chutney,20
Narikol Pitha,35
Kelyachi Bhaji  ,30
Pan Roasted Herbed Baby Potato  With Vegetable,50
Baked Vegetable Salad,30
Mustard Egg Curry,40
Andhra Style Chama Dumpa Pulusu,40
Beans On Toast,130
Ragi ,55
Asian Style Tofu in Spicy Orange Sauce,40
Spinach And Coriander Dosa,55
Kasuri Methi Paneer Sabzi,35
Karamani Poriyal,30
Coorg Style Kadumbuttu/Kadambuttu  ,60
Herbed Butter Rice  With Rosemary & Thym,15
Homemade Kanpe Papdi Chaat,70
Raw Papaya Mor Kootu,40
Detox Blueberry Salad,25
Mushroom Fried Rice,15
Quick And Easy Chilli Bean Dip  With Chip,25
Pasta In Pudina Chutney Sauc,40
Gavarphali Ki Sabji,30
Oriya Kancha Kadali Bara  ,40
Baked chickpea lentil,215
Chicken Cheese Stuffed Kulcha,50
Urulaikizhangu Puli Thokku  ,55
Bharwa Baingan Aur Pyaaz Ki Sabzi ,55
Potato Bonda,50
Classic Pizza Margherita,70
Jackfruit Idli,75
Karnataka Steel Awarekalu Pulao,30
Mirchi Lahsun Ka Chunda  ,22
Chicken In A Foil,60
Surul Appam,20
Strawberry Yogurt Breakfast Parfait,35
Punjabi Choori  ,30
Cabbage Tomato Pachadi,15
Anhui Style Egg Dumpling,35
Instant Sooji Oats Dhokla,50
"South Indian Kosambari  With Raw Mango, Cucumber, Carrot & Beetroo",30
Chettinad Podalangai Vadai  ,170
Amritsari dal,40
Kerala Style Puttu Upma  With Scrambled Egg,20
The Croque Madame Sandwich,40
,15
Fish Tikka Masala Skewer,30
Dum Arbi ,45
Methi Jowar Ragi Thalipeeth,45
Vellai / Jaggerya Dosa,50
Paneer Kolhapuri  ,40
Instant Masala Beans Idli,20
Grilled Eggplant With Spirulina Basil Pesto and Tofu,40
Arbi Ke Patte Ke Pakod,60
Mexican Vegetarian Fajitas,35
Sprouted Horse Gram Thoran,25
Creamy Dal Makhani,65
Instant Red Chilli Pickle,20
Vaangi Shimla Mirchi Bhaji,70
Potato Cabbage Pea Vegetable,50
Banana And Ragi Porridge  For Babies And Toddler,12
Tofu Chocolate Mousse,10
Pumpkin Wade ,60
Dahi Ma Bheeda  ,40
Gujarati Sev Tameta Nu Shaak | Sev Tamatar Ki Sabzi,25
Broccoli and Pepper Rice,60
Thai Style Mung Bean Fritter,85
Masala Soda Shikanji,15
Potato Basil Fritters,50
Tuna Rasam Bhaji  ,30
Thai Coconut Garlic Rice,25
Kaya Tholi Thoran  ,40
Patiala Aloo,35
Quinoa Brown Rice and Vegetable Pulao,55
Quinoa and Vegetable Saute,35
Paneer Do Pyaza,40
Pakistani Roasted Gosht,70
Mushroom Stuffed Ravioli With Burnt Butter Sauce,55
Badam Milk,35
Creamy Beetroot and Potato Puree,40
Green Beans Fry ,40
Cheesy Garlic Spinach Corn Paneer Sandwich,35
Shrimp Stir Fry With Cheesy Dip Mayo,60
Tofu Strawberry Puree  For Babies And Toddler,7
Ginge,7
Spinach Mushroom Stir Fry,25
A Creamy & Delicious Gulkand Kulfi,55
Couscous Salad With Cucumber And Feta Cheese,50
Mexican Chicken Soup,55
Zoodles In Creamy Basil Pesto,25
Bread Halwa,30
Saunf Wali Hari Gobi Sabzi,50
Malabar Style Kozhi Pidi,55
Beetroot And Chickpea Kebab/Tikki,830
Instant Rava Appam With Vegetables,20
Tamil Nadu Style Potato Masiyal  ,70
Cauliflower Pepper Fry  ,20
Quinoa Vangi Bath,55
Cheesy Mushroom Masala Dosa,330
Orange & Date Muffin,60
Dhaba Style Dal Palak,30
Bihari Chana Daal Puri,60
Kolhapuri akha masoor dal  ,45
Mango Buckwheat Porridge,15
Aam Pora Shorbot,30
Penne Pasta With Veggies in Tomato Base,50
Tomato Gotsu ,30
Malabar Style Ney Pathiri  ,50
Fresh Fruit Bowl,20
Whole Wheat Pasta Salad With Capsicum And Corn,25
Cauliflower Coconut Milk Stew,50
Caribbean Vegetable Patties  ,90
Roasted Cauliflower Dill Soup,55
Arbi Ke Kebab,70
Moong Dal Methi Ki Sabzi ,40
Goan Egg Drop Curry,45
Spicy Soya Bhurji,25
Bihari Style Kadhi Bari,40
Sprouted Kollu Sambar,30
Parsi Salli Murgh  ,65
Sukha Bhel  With Boiled Peanut,30
Warm Red Lentil Salad With Goat Cheese,25
Goan Stuffed Masala,35
Shakarkandi Ka Halwa  ,30
Bengali Style Dimer Torka  ,60
Milagu Keerai Poricha Kootu,50
Garlic Methi Raita,25
Chickpea and Broccoli Quesadilla,40
Bengali Egg Curry,65
Avarakalu Rawa Laddu,55
"Beetroot, Carrot and Cucumber Salad",30
Mediterranean Quinoa Bowl  With Red Bell Pepper Sauc,40
Orio Paneer Modak,45
Pineapple Paneer Darts,60
Kale and Mushroom French Soup,30
Sabudana Tikki  ,400
Mushroom Tikka Masala Dry,35
Honey Glazed Corn Fritters,50
Milk pudding,60
Baked Mexican Rice,35
Karela Tikki,30
Ask Roti,40
Aloo Patta Gobhi Sabzi,20
Aam Ka Panna  With Jagger,40
Thakkali Rasam,40
Cheesy Corn On The Cob,25
Quinoa Rice Pudding With Turmeric,45
Thai Style Beansprouts & Raw Mango Salad,40
Andhra Style Tamati Pachadi,75
Ragi Kanji,30
Gujarati Dal,20
Andi Unda ,40
Achari Baingan Bharta,55
Makhana Pakora,40
Pattani Sundal,50
Carrot and Capsicum Mix Dal,40
Pineapple Cucumber Salad,25
Egg White Cheese Scrambled Eggs With Spinach & Caramelized Onion,25
Creamy Pumpkin Pasta Sauce,30
Baked Whole Wheat Masala Baati  ,80
Carrot Cashew Smoothie,25
Instant Dosa Mix Powder,30
Pearl Barley Vegetable Soup,50
Chicken Mole With Brown Rice,75
Vegetarian Malai Kebab,35
Tomato Rasam  ,30
Roasted Garlic Pineapple Paneer Pizza,140
Maharashtrian Tomato Essence,25
Mixed Vegetable Paratha,50
Red Spicy Salsa,40
Crispy Crab Rangoons,80
Rayalaseema Steel Borugula Upma,20
Milk Sooji Fudge,30
Jello Poke Cake,55
Uggani,20
Uttarakhand Aloo Ke Gutke,40
Onion Mango Salad,20
Aloo Posto  ,40
Teriyaki Tofu,25
Chewy Strawberry Muesli Oats Cookie,45
Sweet and Sour Mangalore Cucumber Chutney,55
Hot Coffee Latte,20
Alfredo Spaghetti Pasta  in Broccoli & Olive,50
Eggless Paneer Mc Puff,45
Paneer Bake Pit Paniyaram,40
Grilled Sub Sandwich  With Paneer & Roasted Vegetable,30
Eggless Oreo Cake  With Buttercream Frostin,30
Curry Patta Chaas,10
Paplet Hooman,40
Pudina Pyaz Kachumber Salad,10
Red Smoothie Bowl,15
Traditional Whole Gobi Musallam,65
Broccoli Keema and Utapam,45
Aval Dosa | Poha Dosa  ,30
Asian Style Mixed Fried Rice,50
Dhingri Matar  ,50
Uchellu Chutney,20
Cabbage Pea Fry,35
Mirchi Ka Kuta,25
Moryechi Xacuti  ,70
Vegetarian Fried Rice,30
Matar Ki Tehri,50
Spiced Buttermilk With Coriander And Ginger,15
Walnut Cranberry No Bake Cheesecake  With Strawberrie,135
Karnataka Style Avarekalu Chitranna  ,40
Chettinad Masala Powder,15
Stir Fried Wild Rice with Peri Peri Tofu,80
Kongunad Chicken Fry,40
Lemon Grilled Chicken,55
Milagai Bajji Stuffed with Masala Chicken,70
Hibiscus ,345
Srilankan Prawn Curry,45
Stove Top Green Peas Seekh Kebab,50
Whole Wheat and Jowar ,55
Bharwa Besan Mirch Sabzi,55
Jalapeno Cilantro Lime Rice,35
Pina Colada Cake,70
One Pot Punjabi Rajma Masala,105
Curry Leaves Buttermilk,10
Sundakkai And Methi Leaves Sambar,65
Nigella Seed Beetroot Rice,25
Stuffed Bun With Veggies,100
Hara Chana Masala,50
Mambazha Mor Kuzhambu,30
Bengali Style Shaak Bhaja  ,45
Lu methi paratha,45
Mashed Peas,45
Chicken Sandwich With Sweet Corn,25
Karnataka Style Heerekai Dosa,520
Konkani Style Southe Koddel,45
Bharwa Karela Masala ,70
Mini Bajra Uttapam,520
Kalmi Kabab,50
Seem Paal,35
Healthy Veg Lollipop  With Palak & Rajm,65
Durg Style Mushroom Curry,35
Tambdi Bhaji,20
Khajur Imli Chutney,30
Chemmeen Muringakka Curry,40
Honey and Sesame Tossed Flat Noodles with Toasted Tofu,30
Quick Beetroot Pulao,20
Spicy Vegetarian Thai Noodle Bowl,50
Fresh Basil Pesto,30
Spiced Khooba Roti ,35
Apple Cucumber Salad,15
Vegetable Uttapam  ,20
Herbed Tofu & Spinach In Tomato Basil Sauce,45
Matki Khichdi,30
Pistachio Lemon Cookie,60
Mango & Lemon Bar,90
Chunni Ki Puri,30
Kathirikai Paruppu Kootu,40
Tamil Nadu Style Grinded Rasam,30
Shahi Dal,45
Goan Style Sangacho Ross,40
Muesli Chia Seed and Dry Fruit Jar,30
Chow Chow Moss Lentil Fry,30
Aloo Matar Korma  In White Grav,30
Roasted Vegetable Au Gratin,60
Thengai Poli,150
Falsa/Phalsa Ka Sharbat,45
Aavryachi Bhaj,40
Beet Quinoa Sliders,75
Tamil Nadu Style Sorkai Poria,40
Conchiglie Pasta With Broccoli,35
Chickpea & Date Tagine,75
Chettinad Prawn Curry,45
Chicken In Lemon Butter Sauce,45
Stuffed Ridge Gourd,40
Ajo Blanco  ,17
Almond Meal Muffins  ,45
Maharashtrian Ghavan,55
Gulab Jamun Trifle,20
No Onion No Garlic Aloo Makhana Sabzi,45
Healthy Maravalli Kizhangu Bonda,45
Coffee Banana Oats Smoothie,10
"Broccoli, Paneer & Peanut Sandwich",40
Nimki Aloo Anardana Curry,105
Parsi Lagan Nu Custard,90
Broccoli Cheddar Frittata,35
Grilled Chicken Salad,40
Bhaji Vada  ,50
Chicken Parmigiana,70
Aam Papad  ,40
Vegetarian Mexican Fried Rice,40
Thekera Tenga,30
Konkani Style Kotte Saaru / Halasina Bijada Saaru,50
Doodhi Sabudana Kheer,60
Kashmiri Pulao,65
Butternut Squash And Carrot Soup,70
Poricha Kuzhambu  ,30
Besan Ladoo ,50
Boiled Egg White Sandwich,40
Cabbage Pachadi,35
Garlic Chickpeas And Spinach Curry,60
Red Chilli Thecha ,30
Kolhapuri Masala  ,30
Red Kidney Beans Chocolate Barfi,51
Chutney Chilli Cheese Toast,30
Railway Mutton Curry,40
Classic Caesar Salad,15
Tandoori Gobi Tikka,75
Appe Payasa,110
Masoor Dal Makhani ,30
Herbed Dinner Rolls,45
Goan Dessert Sakhar Bhaat,40
Bihari Green Peas Bharbhara,40
Kulia Fruit Chaat,25
Watermelon Basil Sei White Tea,30
Maharashtrian Steel Carichi Dal  ,80
Bihari kale gram roti,580
Chickpea and spinach fritters,535
Stir Fried Beetroot ,40
Lauki Bharta,45
Chicken Manchurian,65
Mahunada Khaja,20
Spicy Tandoori Paneer Open Puff,155
Eggplant Rolls,110
Smoked Dhaba Dal,50
Konkani Style Patholi/Kadabu,110
Tamil Nadu Style Badam Puri  ,30
Spiced Bottle Gourd And Spinach Juice,10
Roasted Pumpkin Rava Dhokla,30
Cabbage & Buttermilk Curry ,35
Mambhazam Pulissery,45
Carrot & Capsicum Sabzi,35
Mexican Chicken Meatball Chilli Stew,60
Raw Jackfruit Biryani,75
Kabuli Chana Kofta Biryani,60
Curry Fried Quinoa Rice,40
Paleo Breakfast Casserole  In A Mu,65
Jhangore Ki Kheer ,55
Mangalore Fish Curry,40
Bihari Style Aloo Ka Chokha,55
Palak Paneer Kathi Roll,45
Bangalore Restaurant Style Sambar,40
Aloo Bhindi Masala Gravy,35
Spinach Stir Fry  With Garli,24
Chocolate Salted Caramel Tart,105
Spicy Babycorn Satay,40
Khatte Chole,90
Besan Capsicum Ki Sabzi,50
Nuvvula Pachadi ,15
Pan Fried Broccoli Pakora,35
Kerala Style Varutharacha Mutton Curry,45
Nagaland Style Pumpkin Ombal,25
Bottle Gourd Peel Chutney,25
Mooga Gathi ,580
Maharashtrian Green Moong Bhat,40
Glazed Apples and Banana Wheat Crumb Tart,70
Shimla Mirchi Panchamrut  | Konkani Capsicum Cashew Peanut Sabz,40
Bhey Vangan Saag,60
Savoury Carrot And Coriander Pancakes,30
Idli Tikka  With Samba,50
Indo Chinese Prawn And Chicken Fried Rice,35
Easy Spaghetti  In Creamy Tomato Sauce  | Vegetarian & Kid Friendl,40
Moong Dal With Radish Greens,51
Brownie Butter Cake,85
Dimer Malai Curry,65
Chopped Spinach And Pomegranate Salad,15
Hariyali Chicken Tikka Masala,110
Vermicelli Kunafa  With Paneer & Cream Fillin,75
Chena Kaya Erissery,35
Meen Peera ,40
Dry Chole,40
Green Moong Dal Cheela,37
Karela Thepla,50
Lavender Lemonade Cooler,30
Cauliflower And Red Bell Pepper Stir Fry ,30
Roasted Vegetable Panini Sandwich With Feta Cheese,48
Boiled Potato in Tangy Tomato Sauce ,50
Sweet Potato Dal,45
Tangy Raw Beetroot & Tomato Chutney,15
Thavala Adai,40
Achari Paneer Mini Bread Bowl With Cheesy Twist,30
Tangy Black Chickpea Curry ,580
Karnataka Style Alugadde and Mentye Pakoda  ,30
Kori Gassi,60
Cauliflower Pepper Fry ,20
Kale And Vegetable Fried Quinoa,40
Sweet & Spicy Raw Papaya Moongphali Ki Sabzi,40
Chenakayi Erissery,30
Tamter Wangun ,80
Ghee Rice ,50
Goan Style Chicken Galinha Cafreal,105
Delicious Paneer Satay  With Tandoori Mayo,45
Makai Ka Cheela,30
Mooli Jowar Ki Roti,35
Arabian Chicken Mandi,120
Mini Lemon Tarts,145
Bengali Sukto,55
Mexican Chicken Tostadas,35
Achari Chole Aloo Tikki Chaat,60
Tomato Rasam  For Babies And Toddler,20
Bengali Style Papad Curry ,65
Crispy Fried Kurkuri Bhindi  Spiced With Cumin & Chaat Masal,25
Rajma Cutlet ,60
Salted Caramel Popcorn,30
Raw Papitha No Sambharo,30
Vegetarian Momo,45
Besan Methi Paratha,30
Capsicum Bath,25
Kollu Rasam ,70
Watermelon Seeds Rice,50
Classic Andhra Style Chicken Curry,70
Matar Ka Cheela ,40
Moroccan Lentil Stew  With Raisin,45
Phool Mathri,45
Homemade Multigrain Baby Cereal  ,40
Palak Patta Chaat,20
Sprouted Kollu Sambar,30
Vendaikai ,40
Konkani Style Kadgi Chakko,40
Spicy Grilled Pineapple Salsa,25
Kasuri Methi Paneer Sabzi ,35
Hariyali Gobi,45
Motichoor Modak,60
Royyala Kura  ,30
Macaroni Minestrone Soup Pot  ,45
Shakarkandi Malpua,70
Figs and Muesli Bread Pudding,50
Green Moong Dal Makhani ,50
Eggless Peanut Butter Cookies,70
Mulakootal ,45
Manga Rasam,40
Moong Dal Chilla ,90
Potatoes In Poppy Seed Paste ,40
Oriya Special Dalma,73
Tamil Nadu Style Pala Kottai Sambar,55
Mango Pudding,50
Anar & Aloo Pakora,45
Goan Prawns Balchao  ,50
Kale Apple Salad,15
Egg Biryani  With Coconut Mil,120
Kaju Pakoda,30
Halli Style Mutton Saaru,40
Drumstick Spinach Usili,30
Cucumber Mor Kuzhambu  ,35
Mini Key Lime Pie  ,45
Kesa,60
Andhra Style Beerakaya Pappu  ,30
Dates Chocolate & Nut Balls  ,40
Sorakkai Kozhukattai Paal Kuzhambu,50
Coriander Tamarind Millet Rice,30
Tea Spiced Nuts  ,15
Turmeric Milk,15
Rajasthani Pyaaz Ki Kadhi,25
Sweet And Sour Vegetables,50
Paneer Shashlik ,80
Turai Baingan Ki Sabzi,55
Vegetarian Thukpa,60
Chinese Vegetarian Fried Rice With Apples,50
Vaangi Bhaat  ,50
Cauliflower And Red Bell Pepper Stir Fry,30
Jain Style Dal Makhani ,40
Nutella Pancakes,50
Roasted Vegetable Farfalle Pasta Salad,25
Dip Potato,45
Strawberry Salad,25
Black Forest Cupcake,45
Papad Nachos With Salsa,20
French Gâteaux  ,125
Manga Ogre  ,80
Spring Onion Pakora,30
Sweet Pongal With Thai Jasmine Rice And Palm Sugar,85
Pepper Cauliflower,30
Hare Chane Ka Kebab,60
Savory Bread Pudding with Broccoli and Tomato,35
Ice Tea Sangria,25
Whole Wheat Achaari Aloo Taco,70
Daal Pithi,35
Karuvepillai Pachadi,20
Kashmiri Style Nadru Ke Kabab,60
Peanut Rice With Coconut,25
Green Peas Nimona,60
Uttarakhand Style Black Gram Chainsoo,55
Spinach Oats Vada,50
Sweet Potato Gratin With Fresh Herbs,71
Konkani Style Pomfret Fry,35
Rice Sizzler With Tomato Coulis,55
Aloo Matar Paneer Curry,55
Sprouted Mung Bean and Spinach Soup,25
Foxtail Millet Idli,505
Ragi Vermicelli / Semiya,50
Konkani Style Cabbage Sanna Polo,25
Healthy Rose Cookies  With Persian Twis,60
Sakkare Millet Pongal,40
Patra Ni Machi,30
 by Maddur | Maddoor Wad,30
Kerala Style Karamani Thoran,40
Beetroot Thoran ,50
Baked Mini Bread Cups,35
Multigrain Crepe  Filled With Spicy Mashed Potatoe,40
Thai Style Kai Jeow Moo Sab,20
Palak Dhania Dosa  With Figaro Olive Oi,55
Date and Tamarind Chutney,30
 with fenugreek corn flou,75
Sindhi Sai Bhaji,45
Oats Carrot Cake Cookies,48
Red Capsicum Poriyal,20
Khatte Pudina Aloo,25
Sweet Corn Spring Onion Momo,50
Eggless Apple Strudel  With Homemade Pastry Shee,60
Wheat Pizza Pockets  Baked with Chicken Fillin,140
Maharashtrian Style Groundnut Curry ,15
Chilli Capsicum Macaroni,45
Mung Pani,40
Potlakaya Perugu Pachadi,40
Kacche Aam Aur Lehsun Ki Dal,50
Mung Bean Sprouts Upkari,30
Roasted Cauliflower Soup,40
Thandai Mousse Cake  With A Delicious Cardamom Spong,60
Chickpea & Oats Falafel,50
Drumstick Dal Soup,40
Colflower Pea Bhurji,45
Homemade Tamarind Water,25
Pyaz Wali Bhindi ,40
Chicken Yakitori,50
Mixed Sprouts In Chettinad Masala,40
Focaccia With Cherry Tomatoes & Caramelized Onion,140
"Apple, Kiwi, Pineapple Juice",15
Tamil Nadu Style Coconut Chutney,20
Indian Spicy Masala Cookie  ,75
Sweet Corn & Peas Upma  For Babies and Toddler,20
Cold Sesame Noodles,30
Matar Ki Tehri  ,50
Homemade Rice Cereal  ,70
Corn cake,25
Dill Cucumber Raita,10
Tindora Ka Salan,30
Andhra Style Chepa Vepudu,40
Konkani Style Kalwanche Tonak,35
Dry Fruit Halwa,60
Baked Roasted Pumpkin Penne Pasta With Tomato Basil Sauce,70
Potato Fenugreek Leaves Stir Fry ,50
Soya Granule Samosa,90
Sweet Pumpkin Green Smoothie,70
Vegetable Yakhni Pulao,65
French Toast Oatmeal Bake,40
Nutella Filled Hand Pies,90
Orange Flavored Barbecue Chicken With Fresh Salad,55
Broccoli Puree With Butter and Garlic  ,25
Guar Fali Masala Vegetable,45
Saffron Cardamom Creme Brulée,140
Ellu Chutney,20
Light And Creamy Broccoli Soup,40
Spinach And Capsicum Pasta,40
Kuzhal Payasam,45
Pesto and Tangy Tomato Whirls with Hints of Garli,160
"Methi, Mooli Makkai Paratha",40
Carrot Methi Pachadi,20
Palak Makhana  ,50
Mango Curry,45
Sindhi Bhuga Chawal,50
Glute,35
Tofu Green Pulao,60
Mosaru Kodubale,65
Dal Bukhara  ,80
Thengai Thogayal,20
Saoji Egg Curry,30
Healthy Yogurt Parfait with Oats and Fresh Fruits,30
Thelivu Rasam,25
Huruli Kaalu Chutney Pudi  ,20
Rabodi Ki Sabzi,30
Homemade Harissa Paste,35
Raw Mango Thokku,30
Karnataka Style Haalbai,50
Andhra Gongura Pulihora  | Gongura Puliyodarai | Spicy Red Roselle Leaves Ric,45
Annanas Ka Muzzafar,35
Moong Dal Idli,415
Herbed Lentil Loaf  Using Horsegra,60
Paneer Biryani,55
Wholesome Lentil Salad  with Oven Roasted Tomatoe,55
Jalapeno Cheese Samosa,45
Vermicelli Biryani,30
Hare Chana Barfi,55
Chicken Spinach And Ricotta Bombs,30
Green Tea Coconut Ladoo,55
Tofu Methi Paratha,40
Shredded Chicken Tostadas,40
Stir Fried Brown Rice And Wild Rice Topped With Hone,45
Whole Wheat Spaghetti With Avocado Basil Pesto,40
"Carrot, Radish & Peanut Salad with Lemon",30
Beans Muttai Poriyal,25
Rice Flour Bhakri  ,45
Nawabi Mixed Vegetable Gravy ,60
Rose Lassi,15
Buckwheat Crepe  with Fruit Compot,60
Lachedar Kakdi Pyaz Kachumber,15
Moong Dal Methi Ki Sabzi,40
Sweet And Sour Vegetables With Paneer Curry,40
Mughlai Style Eggplant Simmered In Rich Tomato Curry ,50
Pudina Shavige,40
Gujarati Lasaniya Batata,45
Baked Gobi Manchurian,40
Hidden Banana Cupcake,90
Andhra Style Patoli  ,90
Slow Oven Roasted Tomatoes With Pasta And Goat Cheese,45
Cottage Cheese Pancake  Stuffed With Chocolat,50
Hyderabad Style Kuska  ,55
Kakka Orotti,0
3 Ingredients Banana Ice Cream,490
Mixed Millet and Lentils Adai,50
Nadan Tomato Curry  ,30
Whole Wheat Sunflower Seed Bread,255
Spinach And Sweet Potato Bombs,40
Italian Ricotta Crostini with Olives and Cherry Tomatoes,20
Allam Pachadi | Ginger Chutney,30
Keema Bhindi,50
Uttarakhand Mooli Thechua  ,20
Mexican Quinoa Bean Salad,35
Palak Tambuli ,30
Kirai Sambar ,50
Munthiri Masala Kurma,40
Sweet Potato Brownie,65
Amla Rasam,40
Mini Bread Pizza,35
Achari Masala  For Fresh Pickle,35
Dill Idle  ,25
Chocolate Dipped Eggless Coconut Macaroon,70
Rajasthani Seeds Fenugreek & Papad K Sag,25
Handi Biryani  With Chicke,70
Kerala Special Vegetable Stew,45
Dum Ka Murgh ,130
